TRADEDATE,AFLT,CHMF,GAZP,GMKN,HYDR,IMOEX,LKOH,MAGN,MGNT,MTSS,NLMK,POLY,ROSN,SBER,SBERP,SNGSP,TATN,VTBR,YNDX
2015-05-20,38.85,596.6,146.35,10180.0,0.595,1636.86,2481.1,15.015,10940.0,252.65,68.86,435.0,245.9,71.6,48.95,38.5,294.15,0.072,926.0
2015-05-21,39.28,615.1,147.16,10210.0,0.5868,1659.33,2523.0,14.95,11035.0,251.0,72.1,437.0,245.65,73.25,49.66,39.2,297.85,0.07507,935.0
2015-05-22,41.2,617.6,148.8,9534.0,0.58,1665.66,2537.0,14.68,11020.0,252.5,73.67,433.0,249.9,74.35,49.3,38.94,302.6,0.07777,928.0
2015-05-25,41.1,613.8,146.69,9515.0,0.579,1655.4,2502.2,14.99,10910.0,254.0,73.21,430.0,244.6,74.46,49.05,38.99,297.3,0.0795,928.0
2015-05-26,40.23,617.2,145.25,9250.0,0.575,1651.66,2508.0,14.582,10813.0,249.4,72.13,433.0,245.15,74.67,48.97,39.16,292.0,0.0815,923.0
2015-05-27,40.4,630.9,147.66,9380.0,0.5817,1660.98,2541.8,14.882,10653.0,244.5,72.8,438.0,247.5,74.23,47.8,39.56,297.0,0.0826,919.0
2015-05-28,40.75,629.2,146.11,9397.0,0.5739,1657.62,2563.8,14.824,10655.0,246.85,74.68,453.5,245.8,73.6,47.54,39.41,300.8,0.0805,950.0
2015-05-29,41.1,608.4,139.0,9005.0,0.5873,1609.19,2461.3,14.705,10510.0,243.0,73.0,438.5,234.0,73.5,48.25,37.2,280.2,0.08025,941.0
2015-06-01,40.53,611.1,139.4,9303.0,0.5691,1616.94,2447.5,14.709,10456.0,241.4,73.68,447.0,236.0,72.65,48.03,39.08,290.4,0.08035,950.0
2015-06-02,40.0,615.0,140.75,9619.0,0.5751,1643.41,2515.0,15.21,10892.0,245.3,73.4,456.0,237.5,73.92,49.2,38.9,294.25,0.08021,997.0
2015-06-03,39.3,622.0,140.71,9704.0,0.562,1628.87,2480.3,14.655,10765.0,241.05,73.0,451.5,233.1,71.72,48.11,38.75,293.25,0.08105,980.0
2015-06-04,40.07,607.9,140.2,9742.0,0.5818,1638.07,2525.0,14.823,10750.0,239.5,75.2,455.5,236.25,71.25,47.64,39.05,297.0,0.08105,993.0
2015-06-05,39.8,618.1,142.4,9986.0,0.5885,1652.07,2570.0,14.832,10685.0,239.3,75.2,460.5,236.75,70.61,47.85,39.555,300.9,0.08107,976.0
2015-06-08,40.0,624.9,142.66,9954.0,0.582,1646.89,2551.9,14.78,10654.0,241.5,75.01,457.0,239.6,69.17,47.56,39.0,292.0,0.0819,977.0
2015-06-09,40.8,626.9,146.17,9701.0,0.578,1664.01,2606.0,14.828,11005.0,241.5,74.03,453.0,245.0,70.21,47.31,38.98,294.95,0.08175,965.0
2015-06-10,41.1,604.1,145.6,9595.0,0.5752,1653.09,2551.3,14.742,10895.0,239.0,72.34,449.0,246.0,71.51,48.31,39.0,294.6,0.08052,950.0
2015-06-11,39.78,594.2,145.4,9655.0,0.5805,1652.24,2506.9,14.75,11130.0,238.25,72.8,458.0,245.2,72.55,48.2,39.8,296.9,0.0804,950.0
2015-06-15,39.45,599.0,144.95,9758.0,0.587,1657.29,2481.7,14.653,11236.0,241.6,71.79,466.0,243.4,71.8,49.05,41.045,298.25,0.08039,946.0
2015-06-16,39.7,596.1,146.0,9695.0,0.5854,1668.82,2500.3,14.75,11556.0,242.8,71.95,459.0,245.7,73.5,50.85,41.58,298.3,0.08,927.0
2015-06-17,39.27,587.3,147.6,9680.0,0.5734,1664.66,2475.0,14.949,11520.0,240.1,71.9,463.0,245.9,72.81,49.61,41.355,296.25,0.08001,930.0
2015-06-18,38.97,582.0,147.15,9579.0,0.5825,1660.14,2476.0,14.7,11440.0,243.5,72.2,479.0,245.0,72.98,49.84,40.895,295.3,0.0799,906.0
2015-06-19,37.9,585.4,147.15,9685.0,0.5798,1663.03,2474.4,14.499,11385.0,245.0,73.45,482.0,250.0,71.56,49.12,42.12,290.4,0.08002,910.0
2015-06-22,38.78,596.9,148.5,9670.0,0.581,1671.8,2487.0,14.67,11287.0,253.1,73.22,470.0,251.6,72.0,49.14,42.7,295.2,0.07951,881.0
2015-06-23,39.04,595.0,146.25,9503.0,0.57,1657.23,2469.0,14.7,11266.0,250.5,75.0,461.5,250.0,72.01,49.54,42.0,293.0,0.07839,871.0
2015-06-24,38.72,577.1,146.68,9450.0,0.5485,1651.85,2445.0,14.66,11261.0,248.35,74.52,467.0,246.05,71.98,50.04,42.44,295.25,0.0779,871.0
2015-06-25,38.3,577.8,143.7,9400.0,0.5304,1631.99,2406.0,14.661,11220.0,246.05,74.07,456.0,238.55,71.42,49.73,42.3,291.35,0.078,866.0
2015-06-26,39.16,585.0,145.18,9575.0,0.5405,1644.45,2401.7,14.55,11680.0,248.8,74.2,464.0,229.9,70.6,49.42,42.52,296.55,0.078,855.0
2015-06-29,38.0,594.3,143.59,9540.0,0.532,1634.93,2408.0,14.722,11268.0,243.25,75.15,458.0,229.65,70.2,47.9,42.54,294.95,0.07812,842.0
2015-06-30,38.24,594.0,145.85,9500.0,0.5514,1654.55,2469.9,14.7,11399.0,243.1,74.69,453.0,232.0,72.35,48.32,42.65,296.5,0.079,848.0
2015-07-01,37.3,585.3,145.5,9215.0,0.5497,1639.7,2429.2,14.783,11465.0,243.9,74.48,445.5,232.0,71.0,47.92,41.99,294.8,0.07719,853.0
2015-07-02,37.0,592.5,145.8,9250.0,0.5404,1641.05,2455.0,15.002,11420.0,245.85,74.64,445.0,231.2,70.54,47.95,41.99,297.85,0.07746,853.0
2015-07-03,37.05,593.5,144.33,9263.0,0.5418,1631.65,2425.3,14.915,11331.0,243.95,74.5,451.0,228.4,70.67,48.15,41.575,297.65,0.07584,857.0
2015-07-06,36.67,605.7,143.0,9277.0,0.53,1621.27,2460.0,15.289,11401.0,222.05,75.1,451.0,222.8,68.45,46.55,41.18,298.5,0.0745,860.0
2015-07-07,36.75,602.4,142.5,9340.0,0.5267,1614.14,2465.0,16.4,11099.0,218.0,73.85,431.5,220.5,68.77,47.3,41.06,296.95,0.0746,820.0
2015-07-08,38.0,588.5,141.5,9100.0,0.5136,1595.0,2470.0,17.04,10902.0,215.7,74.2,429.5,219.0,67.73,46.67,40.105,281.7,0.07332,845.0
2015-07-09,38.05,579.3,143.77,9101.0,0.519,1614.59,2484.6,16.8,11055.0,219.6,77.5,439.0,223.6,69.35,48.38,40.54,290.9,0.07301,855.0
2015-07-10,38.07,580.0,143.9,9147.0,0.52,1623.99,2465.0,16.2,11399.0,220.25,76.45,436.0,227.0,71.06,49.15,39.8,289.5,0.0752,845.0
2015-07-13,38.1,586.8,145.27,9366.0,0.5185,1642.97,2435.6,16.878,11649.0,222.15,78.83,441.5,231.5,72.94,49.95,39.4,295.05,0.07455,857.0
2015-07-14,38.94,594.0,146.5,9450.0,0.5142,1647.01,2421.9,17.645,11669.0,219.75,79.25,444.0,228.8,73.9,50.66,38.59,294.65,0.07495,880.0
2015-07-15,38.96,595.0,142.7,9488.0,0.5225,1641.22,2460.0,18.7,11660.0,218.2,77.86,442.0,230.5,74.0,50.7,32.4,299.0,0.0749,875.0
2015-07-16,39.55,596.4,144.2,9600.0,0.5348,1652.59,2461.6,19.2,11769.0,221.7,77.74,443.0,233.9,74.21,50.7,33.6,297.15,0.07424,873.0
2015-07-17,39.55,592.2,143.6,9536.0,0.5359,1650.08,2465.4,19.73,11750.0,219.9,76.58,428.0,232.0,75.52,51.05,33.595,295.0,0.07401,900.0
2015-07-20,38.82,594.0,141.78,9393.0,0.523,1626.76,2428.2,18.855,11510.0,216.8,77.02,425.5,227.2,74.1,50.7,33.4,290.9,0.07284,891.0
2015-07-21,39.1,598.8,141.41,9428.0,0.5256,1635.69,2442.0,18.49,11735.0,214.95,76.1,423.0,227.05,75.55,51.5,33.855,296.35,0.07325,889.0
2015-07-22,39.0,612.4,140.8,9320.0,0.5209,1635.63,2465.0,18.762,12177.0,211.8,75.69,425.5,226.95,74.6,51.65,33.45,294.15,0.07323,865.0
2015-07-23,39.33,609.6,138.37,9119.0,0.5181,1616.14,2462.5,18.41,11885.0,215.5,76.35,425.5,223.2,72.7,50.76,33.19,287.3,0.07275,879.0
2015-07-24,39.13,623.9,136.41,9025.0,0.5154,1595.61,2468.9,18.95,11650.0,211.0,77.9,410.0,220.6,70.45,49.26,32.755,278.05,0.0719,867.0
2015-07-27,38.6,632.0,134.51,9022.0,0.5147,1584.92,2398.9,18.605,11750.0,207.65,79.5,410.5,220.5,68.48,48.4,33.6,278.8,0.0723,860.0
2015-07-28,38.12,647.6,135.05,9231.0,0.516,1604.5,2433.4,18.811,11671.0,211.8,80.22,429.0,222.9,69.55,48.9,34.9,288.5,0.07225,883.0
